                                                                                                       
{'loss': 2.9937, 'grad_norm': 7.70387601852417, 'learning_rate': 1.5105740181268883e-07, 'epoch': 0.0}
{'loss': 2.998, 'grad_norm': 7.897808074951172, 'learning_rate': 3.0211480362537766e-07, 'epoch': 0.0}
{'loss': 2.9986, 'grad_norm': 7.771967887878418, 'learning_rate': 4.531722054380665e-07, 'epoch': 0.0}
{'loss': 2.9893, 'grad_norm': 7.742810249328613, 'learning_rate': 6.042296072507553e-07, 'epoch': 0.01}
{'loss': 3.0069, 'grad_norm': 7.655114650726318, 'learning_rate': 7.552870090634442e-07, 'epoch': 0.01}
{'loss': 2.9906, 'grad_norm': 7.692914962768555, 'learning_rate': 9.06344410876133e-07, 'epoch': 0.01}
{'loss': 2.9932, 'grad_norm': 7.687488555908203, 'learning_rate': 1.0574018126888218e-06, 'epoch': 0.01}
{'loss': 3.0082, 'grad_norm': 7.702162265777588, 'learning_rate': 1.2084592145015106e-06, 'epoch': 0.01}
{'loss': 2.9845, 'grad_norm': 7.720705032348633, 'learning_rate': 1.3595166163141995e-06, 'epoch': 0.01}
{'loss': 2.9905, 'grad_norm': 7.756172180175781, 'learning_rate': 1.5105740181268885e-06, 'epoch': 0.02}
{'loss': 2.9877, 'grad_norm': 7.8018412590026855, 'learning_rate': 1.661631419939577e-06, 'epoch': 0.02}
{'loss': 3.0019, 'grad_norm': 7.577511310577393, 'learning_rate': 1.812688821752266e-06, 'epoch': 0.02}
{'loss': 2.9817, 'grad_norm': 7.68638277053833, 'learning_rate': 1.963746223564955e-06, 'epoch': 0.02}
{'loss': 2.9764, 'grad_norm': 7.693359375, 'learning_rate': 2.1148036253776437e-06, 'epoch': 0.02}
{'loss': 2.9785, 'grad_norm': 7.5913920402526855, 'learning_rate': 2.2658610271903325e-06, 'epoch': 0.02}
{'loss': 2.9681, 'grad_norm': 7.681370258331299, 'learning_rate': 2.4169184290030213e-06, 'epoch': 0.02}
{'loss': 2.973, 'grad_norm': 7.528580188751221, 'learning_rate': 2.56797583081571e-06, 'epoch': 0.03}
{'loss': 2.9752, 'grad_norm': 7.627597808837891, 'learning_rate': 2.719033232628399e-06, 'epoch': 0.03}
{'loss': 2.9541, 'grad_norm': 7.490497589111328, 'learning_rate': 2.8700906344410877e-06, 'epoch': 0.03}
{'loss': 2.9622, 'grad_norm': 7.478860855102539, 'learning_rate': 3.021148036253777e-06, 'epoch': 0.03}
{'loss': 2.9422, 'grad_norm': 7.362549304962158, 'learning_rate': 3.1722054380664653e-06, 'epoch': 0.03}
{'loss': 2.9424, 'grad_norm': 7.580243110656738, 'learning_rate': 3.323262839879154e-06, 'epoch': 0.03}
{'loss': 2.9583, 'grad_norm': 7.601646423339844, 'learning_rate': 3.4743202416918434e-06, 'epoch': 0.03}
{'loss': 2.9457, 'grad_norm': 7.5486907958984375, 'learning_rate': 3.625377643504532e-06, 'epoch': 0.04}
{'loss': 2.9355, 'grad_norm': 7.55258846282959, 'learning_rate': 3.7764350453172205e-06, 'epoch': 0.04}
{'loss': 2.9209, 'grad_norm': 7.517343521118164, 'learning_rate': 3.92749244712991e-06, 'epoch': 0.04}
{'loss': 2.9388, 'grad_norm': 7.424883842468262, 'learning_rate': 4.078549848942598e-06, 'epoch': 0.04}
{'loss': 2.9201, 'grad_norm': 7.538995265960693, 'learning_rate': 4.229607250755287e-06, 'epoch': 0.04}
{'loss': 2.9074, 'grad_norm': 7.238370418548584, 'learning_rate': 4.380664652567977e-06, 'epoch': 0.04}
{'loss': 2.9066, 'grad_norm': 7.234649658203125, 'learning_rate': 4.531722054380665e-06, 'epoch': 0.05}
{'loss': 2.8992, 'grad_norm': 7.3430304527282715, 'learning_rate': 4.682779456193353e-06, 'epoch': 0.05}
{'loss': 2.8923, 'grad_norm': 7.430288791656494, 'learning_rate': 4.833836858006043e-06, 'epoch': 0.05}
{'loss': 2.8794, 'grad_norm': 7.379969596862793, 'learning_rate': 4.984894259818732e-06, 'epoch': 0.05}
{'loss': 2.882, 'grad_norm': 7.3294677734375, 'learning_rate': 5.13595166163142e-06, 'epoch': 0.05}
{'loss': 2.8656, 'grad_norm': 7.191317558288574, 'learning_rate': 5.287009063444109e-06, 'epoch': 0.05}
{'loss': 2.8673, 'grad_norm': 7.328421115875244, 'learning_rate': 5.438066465256798e-06, 'epoch': 0.05}
{'loss': 2.8557, 'grad_norm': 7.296040058135986, 'learning_rate': 5.589123867069487e-06, 'epoch': 0.06}
{'loss': 2.8395, 'grad_norm': 7.318463325500488, 'learning_rate': 5.7401812688821754e-06, 'epoch': 0.06}
{'loss': 2.814, 'grad_norm': 7.235165596008301, 'learning_rate': 5.891238670694865e-06, 'epoch': 0.06}
{'loss': 2.8239, 'grad_norm': 7.152505397796631, 'learning_rate': 6.042296072507554e-06, 'epoch': 0.06}
{'loss': 2.8206, 'grad_norm': 7.251523494720459, 'learning_rate': 6.193353474320241e-06, 'epoch': 0.06}
{'loss': 2.8021, 'grad_norm': 7.333896160125732, 'learning_rate': 6.344410876132931e-06, 'epoch': 0.06}
{'loss': 2.7928, 'grad_norm': 7.178609848022461, 'learning_rate': 6.49546827794562e-06, 'epoch': 0.06}
{'loss': 2.799, 'grad_norm': 7.201473712921143, 'learning_rate': 6.646525679758308e-06, 'epoch': 0.07}
{'loss': 2.7758, 'grad_norm': 7.249386310577393, 'learning_rate': 6.7975830815709975e-06, 'epoch': 0.07}
{'loss': 2.7659, 'grad_norm': 7.128652095794678, 'learning_rate': 6.948640483383687e-06, 'epoch': 0.07}
{'loss': 2.7557, 'grad_norm': 7.056919097900391, 'learning_rate': 7.099697885196376e-06, 'epoch': 0.07}
{'loss': 2.7459, 'grad_norm': 7.073489189147949, 'learning_rate': 7.250755287009064e-06, 'epoch': 0.07}
{'loss': 2.7288, 'grad_norm': 6.980066776275635, 'learning_rate': 7.401812688821752e-06, 'epoch': 0.07}
{'loss': 2.7218, 'grad_norm': 7.008183002471924, 'learning_rate': 7.552870090634441e-06, 'epoch': 0.08}
{'loss': 2.7013, 'grad_norm': 6.997830390930176, 'learning_rate': 7.70392749244713e-06, 'epoch': 0.08}
{'loss': 2.695, 'grad_norm': 6.963763236999512, 'learning_rate': 7.85498489425982e-06, 'epoch': 0.08}
{'loss': 2.6878, 'grad_norm': 6.983947277069092, 'learning_rate': 8.006042296072507e-06, 'epoch': 0.08}
{'loss': 2.6751, 'grad_norm': 6.809961318969727, 'learning_rate': 8.157099697885196e-06, 'epoch': 0.08}
{'loss': 2.6638, 'grad_norm': 6.840850830078125, 'learning_rate': 8.308157099697886e-06, 'epoch': 0.08}
{'loss': 2.6522, 'grad_norm': 7.072587490081787, 'learning_rate': 8.459214501510575e-06, 'epoch': 0.08}
{'loss': 2.6235, 'grad_norm': 6.980530261993408, 'learning_rate': 8.610271903323264e-06, 'epoch': 0.09}
{'loss': 2.6265, 'grad_norm': 6.898834705352783, 'learning_rate': 8.761329305135953e-06, 'epoch': 0.09}
{'loss': 2.609, 'grad_norm': 6.928975582122803, 'learning_rate': 8.91238670694864e-06, 'epoch': 0.09}
{'loss': 2.6034, 'grad_norm': 6.87373161315918, 'learning_rate': 9.06344410876133e-06, 'epoch': 0.09}
{'loss': 2.5793, 'grad_norm': 6.883001327514648, 'learning_rate': 9.214501510574018e-06, 'epoch': 0.09}
{'loss': 2.5716, 'grad_norm': 6.843675136566162, 'learning_rate': 9.365558912386707e-06, 'epoch': 0.09}
{'loss': 2.562, 'grad_norm': 6.837510108947754, 'learning_rate': 9.516616314199396e-06, 'epoch': 0.1}
{'loss': 2.5423, 'grad_norm': 6.876028060913086, 'learning_rate': 9.667673716012085e-06, 'epoch': 0.1}
{'loss': 2.5209, 'grad_norm': 6.826931476593018, 'learning_rate': 9.818731117824774e-06, 'epoch': 0.1}
{'loss': 2.5321, 'grad_norm': 6.875438690185547, 'learning_rate': 9.969788519637464e-06, 'epoch': 0.1}
{'loss': 2.4749, 'grad_norm': 6.734520435333252, 'learning_rate': 1.0120845921450151e-05, 'epoch': 0.1}
{'loss': 2.4855, 'grad_norm': 6.813499927520752, 'learning_rate': 1.027190332326284e-05, 'epoch': 0.1}
{'loss': 2.444, 'grad_norm': 6.813295364379883, 'learning_rate': 1.042296072507553e-05, 'epoch': 0.1}
{'loss': 2.4387, 'grad_norm': 6.708793640136719, 'learning_rate': 1.0574018126888217e-05, 'epoch': 0.11}
{'loss': 2.4432, 'grad_norm': 6.758902072906494, 'learning_rate': 1.0725075528700906e-05, 'epoch': 0.11}
{'loss': 2.3896, 'grad_norm': 6.692376136779785, 'learning_rate': 1.0876132930513596e-05, 'epoch': 0.11}
{'loss': 2.4036, 'grad_norm': 6.6465744972229, 'learning_rate': 1.1027190332326285e-05, 'epoch': 0.11}
{'loss': 2.3736, 'grad_norm': 6.548065662384033, 'learning_rate': 1.1178247734138974e-05, 'epoch': 0.11}
{'loss': 2.3614, 'grad_norm': 6.5843892097473145, 'learning_rate': 1.1329305135951662e-05, 'epoch': 0.11}
{'loss': 2.3279, 'grad_norm': 6.631553649902344, 'learning_rate': 1.1480362537764351e-05, 'epoch': 0.11}
{'loss': 2.3219, 'grad_norm': 6.567727565765381, 'learning_rate': 1.163141993957704e-05, 'epoch': 0.12}
{'loss': 2.2857, 'grad_norm': 6.473177909851074, 'learning_rate': 1.178247734138973e-05, 'epoch': 0.12}
{'loss': 2.2776, 'grad_norm': 6.412112236022949, 'learning_rate': 1.1933534743202419e-05, 'epoch': 0.12}
{'loss': 2.2583, 'grad_norm': 6.461676120758057, 'learning_rate': 1.2084592145015108e-05, 'epoch': 0.12}
{'loss': 2.2326, 'grad_norm': 6.3462700843811035, 'learning_rate': 1.2235649546827795e-05, 'epoch': 0.12}
{'loss': 2.2199, 'grad_norm': 6.26301383972168, 'learning_rate': 1.2386706948640483e-05, 'epoch': 0.12}
{'loss': 2.2011, 'grad_norm': 6.249965667724609, 'learning_rate': 1.2537764350453174e-05, 'epoch': 0.13}
{'loss': 2.1672, 'grad_norm': 6.22671365737915, 'learning_rate': 1.2688821752265861e-05, 'epoch': 0.13}
{'loss': 2.1811, 'grad_norm': 6.189855098724365, 'learning_rate': 1.2839879154078552e-05, 'epoch': 0.13}
{'loss': 2.1391, 'grad_norm': 6.11973237991333, 'learning_rate': 1.299093655589124e-05, 'epoch': 0.13}
{'loss': 2.1097, 'grad_norm': 6.117237091064453, 'learning_rate': 1.3141993957703927e-05, 'epoch': 0.13}
{'loss': 2.0993, 'grad_norm': 6.058650493621826, 'learning_rate': 1.3293051359516617e-05, 'epoch': 0.13}
